id,name,country
1,TU Delft,NL
2,Sky Geo Netherlands BV,NL
3,Statista Strategy,DE
4,Uni Potsdam,DE
5,M.I.T.,US
6,Google Incorporated,US
7,AWS Europe,LU
8,Open AI,US
9,Anthropic Public Benefit Corporation,US
10,TUM - Technical University Munich,DE
11,ESA Space Agency,FR
12,UNICEF,CH
13,World Health Org,CH
14,Siemens Healthineers Germany,DE
15,Nvidia Corp.,US
16,UCL London,UK
17,NY University,US
18,Royal Dutch Shell,NL
19,Alphabet Google,US
20,Amazon Deutschland,DE
21,ESADE Barcelona,ES
22,WHO Foundation,CH
